Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"TestEqualsProperty",1,0.00,1.00,6,0.06,826.57,2,1,2,3,1,86.55,6,10,6.00
"TestHierarchicalConfiguration",9,0.12,1.56,161,2.09,72246.02,12,3,5,9,3,139.19,5,190,19.00
"TestHierarchicalConfigurationXMLReader",2,0.50,1.00,31,0.43,10232.98,4,2,7,2,2,127.88,5,38,36.00
"TestHierarchicalDOM4JConfiguration",6,0.25,1.00,39,0.43,8108.24,10,4,3,6,1,165.31,5,53,8.00
"TestHierarchicalXMLConfiguration",7,0.17,1.14,55,0.67,14809.82,13,6,4,7,1,117.08,26,73,9.00
"TestJNDIConfiguration",21,0.03,1.00,65,0.58,8637.27,24,3,2,21,4,180.38,15,92,12.00
"TestJNDIEnvironmentValues",13,0.00,1.31,55,0.59,9247.40,14,1,3,13,2,159.08,3,94,9.00
"TestNonStringProperties",1,0.00,1.00,5,0.05,559.89,2,1,1,3,2,90.83,6,8,4.00
"TestNullCompositeConfiguration",24,0.21,1.42,267,3.12,83005.02,31,7,6,26,6,132.86,62,308,20.00
"TestNullJNDIEnvironmentValues",13,0.00,1.23,52,0.54,8192.21,14,1,3,13,2,160.42,3,86,9.00
"TestPropertiesConfiguration",21,0.01,1.19,119,1.30,27537.34,26,5,6,25,2,164.22,33,170,17.00
"TestPropertiesSequence",3,0.00,3.67,70,1.15,55809.81,3,0,7,3,4,125.39,6,82,75.00
"TestPropertiesTokenizer",1,0.00,1.00,11,0.16,4679.99,1,0,1,1,0,70.80,6,13,51.00
"TestStrictConfigurationComparator",2,1.00,1.00,23,0.28,7375.47,4,2,1,4,4,53.12,18,41,4.00
"TestSubsetConfiguration",11,0.00,1.00,79,1.00,17994.14,11,0,5,11,3,163.41,12,103,13.00
"TestThreesomeConfiguration",7,0.00,1.00,22,0.23,2531.08,8,1,3,7,2,124.15,31,38,6.00
"TestXMLConfiguration",24,0.03,1.17,242,2.75,99166.22,28,4,7,26,2,148.60,42,289,15.00
"XMLConfiguration",23,0.08,3.04,249,2.99,124155.53,28,5,29,23,7,57.54,169,402,41.00
System overview for No System Name
Name, No. Packages, NOS, AVCC, HBUG, HEFF, MI, CCML, NLOC
"No System Name",2,7771,1.69,108.56,3700596.50,65.08,11371,19995
