Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"DefaultParametersManager$DefaultHandlerData",3,0.83,1.33,14,0.18,3718.46,6,3,3,3,2,79.22,34,30,25.00
"DefaultReloadingDetectorFactory",1,0.00,1.00,4,0.06,1704.86,1,0,4,1,8,85.30,12,14,9.00
"DisabledListDelimiterHandler",3,1.00,1.00,10,0.11,2226.20,4,1,3,4,16,105.35,41,23,6.00
"DummyLookup",1,0.00,1.00,3,0.02,152.32,1,0,0,1,3,179.73,22,9,2.00
"DynamicCombinedConfiguration",84,0.08,1.25,295,3.14,59393.67,92,8,22,88,12,154.14,229,605,13.00
"DynamicCombinedConfiguration$ConfigData",4,0.11,1.00,14,0.07,656.07,7,3,22,4,1,88.90,29,24,0.00
"DynamicCombinedConfiguration$ConfigurationInterpolator",1,0.00,1.00,3,0.03,377.68,1,0,22,1,1,132.68,0,10,5.00
"DynamicCombinedConfiguration$CurrentConfigHolder",6,0.07,1.00,16,0.07,616.98,9,3,22,6,1,98.12,41,31,1.00
"EntityRegistry",2,0.00,1.00,3,0.05,545.36,2,0,2,2,1,124.88,28,5,0.00
"EntityResolverSupport",2,0.00,1.00,3,0.03,202.53,2,0,1,2,0,148.64,8,5,0.00
"EnvironmentConfiguration",4,0.00,1.00,9,0.08,890.30,4,0,1,4,3,96.48,45,22,4.00
"EnvironmentLookup",1,0.00,1.00,3,0.02,284.30,1,0,0,1,3,153.80,33,8,4.00
"ErrorListenerTestImpl",2,0.00,1.00,9,0.11,2357.98,2,0,1,2,7,75.60,21,18,12.00
"Event",4,0.00,1.25,22,0.25,5003.90,8,4,1,5,23,100.98,57,37,8.00
"EventListener",1,0.00,1.00,2,0.02,250.84,1,0,0,1,41,96.52,11,4,0.00
"EventListenerList",13,0.42,1.62,56,0.89,34175.52,14,1,9,13,11,72.93,135,111,17.00
"EventListenerList$EventListenerIterator",9,0.00,1.44,38,0.44,9371.41,13,4,9,9,4,98.81,49,79,13.00
"EventListenerList$Iterable<EventListener<?superT>>",1,0.00,1.00,3,0.03,367.87,1,0,9,1,1,132.77,0,8,3.00
"EventListenerParameters",5,0.25,1.00,14,0.13,2165.96,6,1,7,5,10,90.35,56,31,6.00
"EventListenerProvider",1,0.00,1.00,2,0.01,40.30,1,0,1,1,3,98.79,8,4,0.00
"EventListenerRegistrationData",5,0.17,1.80,26,0.28,8233.33,8,3,0,5,13,68.78,47,52,8.00
"EventListenerTestImpl",2,0.00,1.00,8,0.10,1699.22,2,0,1,2,13,78.63,21,15,8.00
"EventSource",2,0.00,1.00,3,0.13,2983.13,2,0,0,2,8,95.08,22,7,0.00
"EventType",6,0.05,1.50,28,0.30,9418.25,10,4,3,6,37,88.28,76,51,10.00
"ExprLookup",15,0.03,1.33,61,0.55,14880.47,25,10,11,16,5,75.06,126,108,9.00
"ExprLookup$StrLookup<String>",1,0.00,1.00,4,0.05,1123.34,1,0,11,1,0,124.29,0,9,4.00
"ExprLookup$Variable",6,0.30,1.50,25,0.24,11670.53,8,2,11,6,1,171.64,6,51,2.00
"ExprLookup$Variables",3,1.00,1.33,10,0.06,773.11,4,1,11,3,0,109.09,16,23,1.00
"FileBased",2,0.00,1.00,3,0.06,534.29,2,0,4,2,6,96.99,16,5,0.00
"FileBasedBuilderParameters",0,0.00,0.00,1,0.01,108.00,0,0,3,0,12,171.00,0,6,0.00
"FileBasedBuilderParametersImpl",21,0.10,1.33,82,0.82,21035.24,27,6,6,21,40,104.82,108,169,13.00
"FileBasedBuilderProperties",10,0.00,1.00,11,1.12,15127.18,10,0,4,10,12,105.40,66,13,0.00
"FileBasedConfiguration",0,0.00,0.00,1,0.00,11.61,0,0,1,0,15,171.00,0,3,0.00
"FileBasedConfigurationBuilder",18,0.12,1.83,94,0.99,34895.11,22,4,11,18,32,67.91,162,181,15.00
"FileExtensionConfigurationBuilderProvider",6,0.07,1.83,33,0.32,9287.76,9,3,4,6,7,92.98,81,63,22.00
"FileHandler",76,0.13,1.58,311,3.41,83657.26,82,6,23,78,68,74.23,651,650,17.00
"FileHandler$SynchronizerSupport",4,0.00,1.00,6,0.04,321.74,4,0,23,4,3,149.20,0,20,3.00
"FileHandler$Updater",1,0.00,1.00,4,0.03,300.83,1,0,23,1,0,128.80,0,9,4.00
"FileHandler$Updater_0",1,0.00,1.00,4,0.03,300.83,1,0,23,1,0,128.80,0,9,4.00
"FileHandler$Updater_1",1,0.00,1.00,3,0.03,359.43,1,0,23,1,0,132.85,0,8,5.00
"FileHandler$Updater_2",1,0.00,1.00,4,0.03,390.00,1,0,23,1,0,127.91,0,9,5.00
"FileHandler$Updater_3",1,0.00,1.00,3,0.03,359.43,1,0,23,1,0,132.85,0,8,5.00
"FileHandler$Updater_4",1,0.00,1.00,3,0.02,215.10,1,0,23,1,0,134.60,0,8,3.00
"FileHandler$Updater_5",1,0.00,1.00,3,0.02,215.10,1,0,23,1,0,134.60,0,8,3.00
"FileHandler$Updater_6",1,0.00,1.00,3,0.02,190.31,1,0,23,1,0,135.02,0,8,3.00
