Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"TestFileHandlerReloadingDetector$FileHandlerReloadingDetectorTestImpl",3,0.50,1.00,9,0.06,520.00,4,1,10,3,1,90.65,22,16,1.00,1.00,1,0.50,0,1,2,1,2,4,0.67,0.00,org.apache.commons.configuration2.reloading.FileHandlerReloadingDetector,135.34,0,0,0,165.07,1,48,0.12,3,1,0,2,0
"TestFileLocator",10,0.59,1.00,71,1.33,39556.31,16,6,11,10,5,107.05,42,152,35.00,0.00,1,0.00,0,0,10,5,1,10,0.70,0.00,java.lang.Object,110.69,0,0,0,4004.20,6,813,0.00,10,0,0,1,1
"TestFileLocatorUtils",39,0.10,1.00,184,2.97,73244.35,44,5,20,39,15,130.41,136,386,25.00,348.00,1,0.00,0,0,39,15,1,35,0.10,0.00,java.lang.Object,119.86,0,0,0,8914.46,6,1885,0.00,39,0,0,1,2
"TestFileSystemLocationStrategy",2,0.00,1.00,14,0.23,4681.84,3,1,6,2,5,103.49,9,31,14.00,0.00,1,0.00,0,0,2,5,1,2,1.00,0.00,java.lang.Object,112.71,0,0,0,685.64,1,133,0.00,2,0,0,1,0
"TestHierarchicalBuilderParametersImpl",4,0.33,1.00,26,0.39,9948.89,5,1,8,4,3,118.91,15,48,14.00,0.00,1,0.00,0,0,4,3,1,4,0.75,0.00,java.lang.Object,113.71,0,0,0,1158.10,2,233,0.00,4,0,0,1,0
"TestHierarchicalConfiguration",44,0.07,1.16,225,3.22,87234.61,46,2,14,44,12,119.46,174,403,17.00,0.00,3,0.00,0,0,43,12,1,47,0.43,0.00,java.lang.Object,118.33,0,0,0,9665.33,4,1974,0.00,51,1,0,1,6
"TestHierarchicalConfigurationEvents",7,0.00,1.00,41,0.65,13964.70,7,0,12,7,10,116.38,28,83,12.00,0.00,1,0.33,1,1,6,9,2,7,0.00,0.50,org.apache.commons.configuration2.event.AbstractTestConfigurationEvents,116.15,0,0,0,1939.78,2,391,0.12,7,1,1,1,1
"TestHierarchicalConfigurationXMLReader",2,0.50,1.00,21,0.36,8114.26,4,2,13,4,5,134.99,5,35,16.00,0.00,1,0.00,0,0,2,5,1,1,0.75,0.00,java.lang.Object,104.26,2,0,2,1088.57,1,202,0.00,2,0,0,1,0
"TestHierarchicalXMLConfiguration",12,0.15,1.08,150,2.25,69760.70,21,9,11,15,3,108.78,43,195,15.00,0.00,2,0.00,0,0,12,3,1,15,0.25,0.00,java.lang.Object,100.19,3,0,3,6738.00,3,1223,0.00,13,0,0,1,1
"TestHomeDirectoryLocationStrategy",8,0.39,1.00,43,0.71,11971.45,12,4,12,9,4,111.59,35,83,28.00,0.00,1,0.00,0,0,7,4,1,8,0.59,0.00,java.lang.Object,118.52,1,0,1,2142.27,4,434,0.00,8,1,0,1,1
"TestINIConfiguration",74,0.01,1.12,431,6.85,164942.46,83,9,34,76,15,120.36,280,819,20.00,2642.00,3,0.00,0,0,70,15,1,70,0.10,0.00,java.lang.Object,115.83,2,0,2,20535.04,6,4055,0.00,83,4,0,1,8
"TestINIConfiguration$GlobalSectionTestThread",2,0.50,2.00,14,0.10,2539.89,4,2,34,2,1,68.86,15,25,2.00,0.00,3,0.50,0,1,2,1,2,3,0.75,0.00,java.lang.Thread,114.57,0,0,0,303.77,0,69,0.00,4,0,0,2,0
"TestImmutableConfiguration",12,1.00,1.25,72,1.08,23624.35,13,1,14,12,11,112.75,50,140,18.00,22.00,2,0.00,0,0,10,11,1,13,0.08,0.00,java.lang.Object,115.74,0,0,0,3243.29,6,654,0.00,15,2,0,1,2
"TestImmutableNode",45,0.02,1.18,270,3.80,95907.95,50,5,13,45,1,115.73,180,419,24.00,173.00,2,0.00,0,0,41,1,1,46,0.18,0.00,java.lang.Object,115.49,0,0,0,11407.48,4,2382,0.00,53,4,0,1,8
"TestInMemoryNodeModel",43,0.31,1.30,415,8.48,288869.56,44,1,28,43,9,105.90,168,750,40.00,0.00,5,0.00,0,0,42,9,1,47,0.70,0.00,java.lang.Object,103.83,0,0,0,25442.50,10,4509,0.00,56,1,0,1,4
"TestInMemoryNodeModel$IAnswer<NodeAddData<ImmutableNode>>",1,0.00,1.00,5,0.08,2217.06,1,0,28,1,2,118.35,0,11,9.00,1.00,1,0.00,0,0,0,2,1,0,0.00,0.00,java.lang.Object,118.35,0,0,0,244.20,2,48,0.00,1,1,0,2,0
"TestInMemoryNodeModel$IAnswer<NodeAddData<ImmutableNode>>_0",1,0.00,1.00,4,0.06,1730.65,1,0,28,1,2,122.81,0,11,12.00,1.00,1,0.00,0,0,0,2,1,0,0.00,0.00,java.lang.Object,122.81,0,0,0,192.29,0,40,0.00,1,1,0,2,0
"TestInMemoryNodeModel$Thread",1,0.00,2.00,5,0.05,651.39,1,0,28,1,0,172.31,1,16,5.00,0.00,2,0.00,0,0,1,0,1,1,0.00,0.00,java.lang.Object,122.31,0,0,0,144.75,0,32,0.00,2,0,0,2,0
"TestInMemoryNodeModelReferences",15,0.32,1.27,102,1.52,36100.09,17,2,14,15,8,111.96,61,169,16.00,0.00,3,0.00,0,0,13,8,1,15,0.80,0.00,java.lang.Object,113.03,0,0,0,4567.19,4,919,0.00,19,2,0,1,2
"TestInMemoryNodeModelReferences$ConfigurationNodeVisitorAdapter<ImmutableNode>",1,0.00,1.00,3,0.03,504.56,1,0,14,1,2,131.69,0,9,5.00,1.00,1,0.00,0,0,1,2,1,0,0.00,0.00,java.lang.Object,131.69,0,0,0,91.74,0,22,0.00,1,0,0,2,0
"TestInMemoryNodeModelTrackedNodes",59,0.16,1.14,376,5.89,164971.81,65,6,24,59,9,114.50,234,633,22.00,0.00,4,0.00,0,0,55,9,1,59,0.32,0.00,java.lang.Object,113.59,0,0,0,17673.67,8,3455,0.00,67,4,0,1,13
"TestInMemoryNodeModelTrackedNodes$IAnswer<NodeUpdateData<ImmutableNode>>",1,0.00,1.00,8,0.19,6876.39,1,0,24,1,4,106.86,0,20,65.00,1.00,1,0.00,0,0,0,4,1,0,0.00,0.00,java.lang.Object,106.86,0,0,0,569.76,1,105,0.00,1,1,0,2,0
"TestInterpolatorSpecification",15,0.14,1.00,72,1.17,25798.37,18,3,10,15,3,112.49,66,150,29.00,0.00,1,0.00,0,0,13,3,1,15,0.47,0.00,java.lang.Object,119.88,0,0,0,3511.24,4,731,0.00,15,2,0,1,4
"TestJNDIConfiguration",31,0.03,1.03,108,1.28,23434.83,35,4,19,31,9,173.51,50,198,14.00,143.00,2,0.00,0,0,30,7,1,18,0.23,0.00,java.lang.Object,127.87,0,0,0,3840.25,5,891,0.00,32,1,2,1,2
"TestJNDIConfiguration$PotentialErrorJNDIConfiguration",4,0.67,1.25,12,0.08,1114.46,5,1,19,4,1,120.00,19,26,2.00,4.00,2,0.75,0,3,3,1,4,4,0.50,0.00,org.apache.commons.configuration2.JNDIConfiguration,133.66,0,0,0,234.15,1,66,0.03,5,1,0,2,1
"TestJNDIEnvironmentValues",13,0.00,1.23,52,0.64,12867.89,14,1,9,13,2,158.88,3,99,10.00,0.00,2,0.00,0,0,13,2,1,3,1.00,0.00,java.lang.Object,124.67,0,0,0,1933.16,5,428,0.00,16,0,0,1,0
"TestJSONConfiguration",11,0.05,1.00,52,0.82,23785.36,13,2,13,13,5,166.81,7,94,14.00,0.00,1,0.00,0,0,11,5,1,3,0.55,0.00,java.lang.Object,119.34,2,0,2,2454.63,2,495,0.00,11,0,0,1,0
"TestJndiBuilderParametersImpl",5,0.00,1.00,29,0.41,9513.57,6,1,8,5,2,124.71,18,47,12.00,0.00,1,0.00,0,0,5,2,1,5,1.00,0.00,java.lang.Object,116.47,0,0,0,1221.28,2,250,0.00,5,0,0,1,0
"TestManagedReloadingDetector",4,0.00,1.00,14,0.11,1238.74,5,1,4,4,1,131.10,16,30,4.00,0.00,1,0.00,0,0,4,1,1,4,1.00,0.00,java.lang.Object,130.86,0,0,0,331.29,2,88,0.00,4,0,0,1,0
"TestMapConfiguration",10,0.00,1.00,63,0.86,18189.21,13,3,11,11,8,137.96,29,99,15.00,10.00,1,0.50,0,1,8,8,2,7,0.33,0.00,org.apache.commons.configuration2.TestAbstractConfiguration,115.28,1,0,1,2573.19,3,539,0.17,10,2,0,1,1
"TestMapConfigurationEvents",1,0.00,1.00,3,0.03,350.00,1,0,3,1,3,115.07,5,8,5.00,1.00,1,0.50,0,1,0,3,2,1,0.00,0.00,org.apache.commons.configuration2.event.AbstractTestConfigurationEvents,132.94,0,0,0,84.00,0,23,0.18,1,1,0,1,0
