Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"Configuration",8,0.00,1.00,9,0.90,17878.28,8,0,5,8,93,104.92,96,12,0.00
"ConfigurationAssert",10,0.22,1.60,51,0.56,14953.35,14,4,12,11,55,71.97,78,80,10.00
"ConfigurationAttributePointer",14,0.38,1.07,35,0.32,4780.66,16,2,7,14,5,93.11,99,85,9.00
"ConfigurationBuilder",1,0.00,1.00,2,0.03,338.28,1,0,3,1,27,91.52,8,4,0.00
"ConfigurationBuilderEvent",2,3.00,1.00,8,0.12,3181.03,5,3,2,3,19,168.87,45,20,7.00
"ConfigurationBuilderProvider",1,0.00,1.00,2,0.02,289.00,1,0,3,1,11,91.68,10,6,0.00
"ConfigurationBuilderResultCreatedEvent",2,0.00,1.50,10,0.10,2147.72,4,2,2,3,10,160.01,42,25,0.00
"ConfigurationComparator",1,0.00,1.00,2,0.01,86.26,1,0,0,1,5,96.19,8,4,0.00
"ConfigurationConsumer",1,0.00,1.00,2,0.02,228.96,1,0,1,1,1,108.74,6,4,0.00
"ConfigurationConverter",6,1.00,1.67,35,0.37,15439.94,7,1,6,6,10,65.42,52,65,18.00
"ConfigurationDeclaration",10,0.89,1.20,30,0.37,9331.43,11,1,3,10,14,79.86,86,76,17.00
"ConfigurationDecoder",1,0.00,1.00,2,0.01,68.50,1,0,0,1,7,95.09,9,4,0.00
"ConfigurationDynaBean",11,0.30,2.82,79,1.11,44180.66,13,2,10,12,6,108.50,45,153,25.00
"ConfigurationDynaClass",5,0.12,4.00,52,0.67,32960.95,7,2,9,6,2,118.55,16,101,24.00
"ConfigurationErrorEvent",5,0.06,1.00,23,0.22,4909.03,13,8,0,6,19,148.77,95,41,0.00
"ConfigurationEvent",4,0.03,1.00,25,0.34,9692.48,17,13,0,5,40,131.42,134,47,0.00
"ConfigurationException",4,1.00,1.00,10,0.05,384.40,5,1,0,4,110,91.38,33,20,0.00
"ConfigurationInterpolator",25,0.01,1.60,109,1.03,28268.60,33,8,11,25,26,80.49,283,196,20.00
"ConfigurationInterpolator$StrLookup<Object>",1,0.00,1.00,4,0.04,1072.32,1,0,11,1,0,124.45,0,9,3.00
"ConfigurationInterpolator$StringLookup",1,0.00,1.00,4,0.04,1229.85,1,0,11,1,0,123.98,0,9,3.00
"ConfigurationLogger",16,0.93,1.12,38,0.29,4048.80,17,1,3,16,18,89.70,128,77,8.00
"ConfigurationLookup",3,0.50,1.33,10,0.07,857.52,4,1,1,3,7,89.69,34,22,3.00
"ConfigurationMap",5,0.25,1.00,15,0.15,2442.96,6,1,5,5,5,92.77,59,78,7.00
"ConfigurationMap$ConfigurationSet",3,1.00,1.33,15,0.12,2461.08,4,1,5,3,1,128.56,11,24,7.00
"ConfigurationMap$ConfigurationSet$ConfigurationSetIterator",4,0.00,1.00,10,0.09,1387.05,5,1,5,4,0,185.92,4,23,4.00
"ConfigurationMap$ConfigurationSet$Entry",4,0.33,1.00,12,0.10,1349.47,5,1,5,4,0,183.06,4,25,6.00
"ConfigurationNodeIteratorAttribute",5,0.08,1.80,28,0.41,15253.40,8,3,7,5,4,66.45,41,60,10.00
"ConfigurationNodeIteratorBase",14,0.08,1.14,40,0.39,7163.16,20,6,5,14,3,86.68,105,79,21.00
"ConfigurationNodeIteratorChildren",7,0.67,2.86,59,0.71,26570.99,8,1,10,7,3,57.63,63,112,14.00
"ConfigurationNodePointer",18,0.20,1.22,57,0.54,10772.88,21,3,8,18,11,86.23,130,120,12.00
"ConfigurationNodePointerFactory",4,1.00,1.50,16,0.23,6410.49,5,1,5,4,5,115.08,61,38,13.00
"ConfigurationNodePointerFactory$NodeWrapper",3,0.25,1.00,10,0.06,679.15,5,2,5,3,1,84.62,24,18,0.00
"ConfigurationNodeVisitor",3,0.00,1.00,4,0.13,2091.01,3,0,0,3,5,94.57,25,6,0.00
