Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"DefaultConfigurationBuilder$ConfigurationBuilderProvider",5,0.00,1.40,31,0.31,6156.97,5,0,27,5,6,69.51,39,53,10.00
"DefaultConfigurationBuilder$ConfigurationDeclaration",9,0.88,1.22,27,0.33,7724.76,10,1,27,9,4,79.93,79,63,16.00
"DefaultConfigurationBuilder$ConfigurationProvider",11,0.45,1.09,27,0.24,3798.90,13,2,27,11,2,86.82,106,58,16.00
"DefaultConfigurationBuilder$FileConfigurationProvider",6,0.00,1.50,26,0.29,6686.75,6,0,27,6,6,74.43,60,53,15.00
"DefaultConfigurationBuilder$FileExtensionConfigurationProvider",5,0.10,1.60,27,0.30,7941.25,10,5,27,5,1,99.89,71,55,20.00
"DefaultConfigurationBuilder$XMLConfigurationProvider",2,0.00,1.50,11,0.12,3352.53,2,0,27,2,4,71.03,21,27,16.00
"DefaultConfigurationKey",25,0.18,1.48,92,1.11,28351.36,28,3,3,25,5,78.23,195,208,25.00
"DefaultConfigurationKey$KeyIterator",20,0.03,1.80,102,1.07,37263.63,26,6,3,20,0,68.76,172,209,19.00
"DefaultConfigurationNode",38,0.04,1.11,103,0.76,9806.50,45,7,9,38,24,104.69,224,196,14.00
"DefaultConfigurationNode$SubNodes",10,0.17,2.80,75,0.78,25888.66,12,2,9,10,3,74.07,64,141,12.00
"DefaultEntityResolver",3,1.00,2.33,22,0.26,8463.16,4,1,9,4,2,123.23,52,45,14.00
"DefaultExpressionEngine",18,0.06,1.78,90,1.06,35066.89,30,12,4,18,10,124.06,299,188,18.00
"DefaultFileSystem",10,1.00,3.60,93,1.06,44963.35,11,1,12,11,4,132.02,27,213,14.00
"DefaultFileSystem$HttpOutputStream",8,0.07,1.12,21,0.19,3068.40,10,2,12,8,1,184.76,8,42,11.00
"DynamicCombinedConfiguration",83,0.08,1.33,282,3.00,61908.22,91,8,19,88,15,167.94,167,564,13.00
"DynamicCombinedConfiguration$ConfigData",4,0.11,1.00,14,0.07,656.07,7,3,19,4,1,88.90,29,24,0.00
"DynamicCombinedConfiguration$ThreadLocal<Boolean>",1,0.00,1.00,3,0.02,233.02,1,0,19,1,0,134.33,0,8,2.00
"EntityRegistry",2,0.00,1.00,3,0.05,545.36,2,0,2,2,2,124.88,28,5,0.00
"EntityResolverSupport",2,0.00,1.00,3,0.03,202.53,2,0,1,2,1,148.64,8,5,0.00
"EnvironmentConfiguration",4,0.00,1.00,9,0.08,890.30,4,0,1,4,6,96.48,45,22,4.00
"EnvironmentLookup",1,0.00,1.00,4,0.03,413.33,2,1,2,2,2,141.49,34,9,3.00
"EventSource",19,0.04,1.37,62,0.61,9893.16,23,4,5,20,8,81.99,192,126,11.00
"ExprLookup",11,0.03,1.18,45,0.37,6678.14,19,8,11,12,4,76.14,96,75,9.00
"ExprLookup$Variable",6,0.30,1.50,25,0.24,11670.53,8,2,11,6,1,171.64,6,51,2.00
"ExprLookup$Variables",3,1.00,1.33,10,0.06,773.11,4,1,11,3,0,109.09,16,23,1.00
"ExpressionEngine",3,0.00,1.00,4,0.13,1877.47,3,0,1,3,11,104.13,35,6,0.00
"FileAlwaysReloadingStrategy",2,0.00,1.00,5,0.02,135.50,2,0,1,2,6,91.51,18,11,1.00
"FileChangedReloadingStrategy",12,0.00,1.92,60,0.59,13910.76,20,8,7,13,13,108.15,56,120,12.00
"FileConfiguration",29,0.00,1.00,30,10.14,271442.42,29,0,7,29,20,98.38,197,32,0.00
"FileOptionsProvider",1,6.00,1.00,8,0.11,1156.43,7,6,1,1,3,144.87,31,10,0.00
"FileRandomReloadingStrategy",4,0.33,2.00,20,0.19,4321.12,6,2,4,6,2,130.87,14,42,5.00
"FileSystem",17,0.17,1.06,47,0.25,2984.38,21,4,8,17,16,169.04,41,89,10.00
"FileSystemBased",3,0.00,1.00,4,0.06,454.68,3,0,0,3,4,148.94,0,6,0.00
"FileURLStreamHandler",1,0.00,1.00,4,0.11,3438.88,1,0,9,1,1,78.17,7,8,9.00
"FileURLStreamHandler$URLConnection",3,0.00,1.00,6,0.05,528.21,3,0,9,3,0,141.86,0,16,4.00
"HierarchicalConfiguration",48,0.09,1.83,277,2.93,103751.36,56,8,20,48,43,83.15,605,464,19.00
"HierarchicalConfiguration$BuilderVisitor",2,0.00,5.00,32,0.45,39339.92,2,0,20,2,2,136.89,45,53,53.00
"HierarchicalConfiguration$CloneVisitor",4,0.17,1.75,19,0.18,3699.23,6,2,20,4,1,86.85,25,40,6.00
"HierarchicalConfiguration$ConfigurationListener",1,0.00,1.00,3,0.01,83.69,1,0,20,1,1,137.83,0,7,1.00
"HierarchicalConfiguration$ConfigurationNodeVisitorAdapter",1,0.00,1.00,3,0.03,285.55,1,0,20,1,1,133.63,0,8,3.00
"HierarchicalConfiguration$ConfigurationNodeVisitorAdapter_0",1,0.00,1.00,3,0.02,190.31,1,0,20,1,1,135.02,0,8,2.00
"HierarchicalConfiguration$DefinedKeysVisitor",5,0.25,1.20,19,0.19,3405.37,7,2,20,5,1,90.02,32,36,7.00
"HierarchicalConfiguration$DefinedVisitor",3,0.50,1.00,8,0.05,523.10,4,1,20,3,1,90.61,23,18,2.00
"HierarchicalConfiguration$HierarchicalConfiguration",1,0.00,1.00,3,0.02,321.21,1,0,20,1,0,183.23,1,8,3.00
"HierarchicalConfiguration$Node",1,0.00,1.00,4,0.03,366.34,1,0,20,1,0,178.12,1,9,2.00
"HierarchicalConfiguration$NodeVisitor",3,0.00,1.00,5,0.03,146.59,3,0,20,3,1,107.04,34,13,2.00
"HierarchicalConfiguration$Node_1",11,1.00,1.64,61,0.62,22122.92,12,1,20,11,3,75.30,76,97,19.00
"HierarchicalConfigurationConverter",7,0.00,2.29,58,0.65,21933.70,7,0,7,7,2,73.32,86,80,18.00
"HierarchicalConfigurationXMLReader",6,0.80,1.00,15,0.08,717.30,7,1,4,6,5,94.88,44,31,3.00
"HierarchicalConfigurationXMLReader$SAXVisitor",6,1.00,1.83,26,0.28,5525.89,7,1,4,6,2,76.86,46,50,14.00
"HierarchicalINIConfiguration",23,0.11,2.96,226,2.75,172863.79,29,6,15,24,9,109.45,385,405,33.00
"HierarchicalReloadableConfiguration",4,0.50,1.00,14,0.10,1095.98,6,2,1,4,4,85.56,30,26,0.00
"HierarchicalXMLConfiguration",0,0.00,0.00,2,0.01,57.06,1,1,0,0,1,171.00,18,4,0.00
"HsqlDB",5,0.00,2.20,39,0.47,15566.60,7,2,8,6,1,159.17,6,74,8.00
"INIConfiguration",11,0.40,3.27,122,1.59,103740.55,13,2,11,11,4,129.62,214,220,40.00
"InterpolationTestHelper",10,0.00,1.30,84,1.17,30126.91,10,0,6,10,7,70.04,66,137,11.00
"InterpolationTestHelper$StrLookup",1,0.00,1.00,3,0.02,245.93,1,0,6,1,0,134.15,0,8,2.00
"InvariantReloadingStrategy",4,0.00,1.00,6,0.02,132.31,4,0,1,4,4,196.02,7,16,2.00
"JNDIConfiguration",19,0.14,2.21,120,1.45,58082.88,23,4,15,20,6,64.08,158,246,19.00
"Lock",3,0.38,1.00,13,0.08,908.78,7,4,0,3,2,87.52,35,24,41.00
"Logging",15,0.04,1.00,43,0.37,3154.83,17,2,6,15,0,88.15,117,84,10.00
"ManagedReloadingStrategy",5,0.00,1.00,15,0.10,920.14,8,3,3,6,4,91.35,36,28,2.00
"ManagedReloadingStrategyMBean",1,0.00,1.00,2,0.01,40.30,1,0,0,1,0,167.51,3,4,0.00
"MapConfiguration",13,0.12,1.46,54,0.64,23285.30,15,2,6,13,14,72.41,124,104,16.00
"MergeCombiner",3,0.00,5.00,53,0.72,47120.21,3,0,4,3,5,96.27,50,83,42.00
"MockInitialContextFactory",8,0.10,1.62,70,1.12,58686.23,17,9,9,8,1,56.21,79,113,24.00
"MultiFileHierarchicalConfiguration",99,0.06,1.24,287,3.28,73300.89,111,12,29,103,19,177.85,60,626,13.00
"MultiFileHierarchicalConfiguration$ThreadLocal<Boolean>",1,0.00,1.00,3,0.02,233.02,1,0,29,1,0,134.33,0,8,2.00
"MultiFileHierarchicalConfiguration$XMLConfiguration",2,0.00,1.00,3,0.02,142.65,2,0,29,2,1,149.61,0,11,2.00
"NodeAddData",10,0.14,1.20,30,0.20,2924.36,14,4,3,10,8,85.69,102,59,4.00
"NodeCombiner",6,0.40,1.00,13,0.10,1034.71,7,1,3,6,11,100.67,70,26,4.00
"NonCloneableConfiguration",5,0.00,1.00,10,0.06,443.39,5,0,1,5,3,133.18,23,23,3.00
"NonStringTestHolder",17,0.06,1.06,70,0.87,14248.10,18,1,3,17,2,167.06,7,108,16.00
"OverrideCombiner",3,0.00,3.33,33,0.39,19039.86,3,0,0,3,6,148.71,69,60,24.00
