Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"FloatColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"FloatColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
"GenericListHandler",2,0.00,1.50,7,0.07,1161.31,2,0,5,2,1,80.12,20,10,6.00
"GenerousBeanProcessor",2,0.00,3.00,24,0.30,20294.36,2,0,4,2,2,80.63,10,28,50.00
"GenerousBeanProcessorTest",5,0.67,1.00,59,0.91,28208.38,8,3,9,6,1,101.25,0,74,9.00
"GenerousBeanProcessorTest$TestBean",6,0.20,1.00,16,0.08,781.52,9,3,9,6,0,138.23,0,23,0.00
"IntegerColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"IntegerColumnHandlerTest",3,0.00,1.00,8,0.10,1296.36,3,0,6,3,2,134.13,0,16,6.00
"KeyedHandler",7,0.22,1.00,21,0.22,3409.35,10,3,4,7,4,103.70,92,35,29.00
"KeyedHandlerTest",4,0.00,1.75,63,0.97,36492.75,4,0,5,4,3,94.75,0,65,13.00
"LongColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"LongColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
"MapHandler",3,1.00,1.00,9,0.09,1419.31,4,1,5,3,4,86.05,32,14,7.00
"MapHandlerTest",2,0.00,1.00,13,0.20,4373.15,2,0,4,2,3,161.11,3,16,11.00
"MapListHandler",3,1.00,1.00,9,0.08,997.66,4,1,4,3,4,84.64,30,14,6.00
"MapListHandlerTest",2,0.00,1.00,26,0.44,14303.37,2,0,6,2,3,145.83,3,29,12.00
"MockResultSet",19,0.03,2.63,129,2.05,84922.96,23,4,9,19,4,96.28,91,183,23.00
"MockResultSetMetaData",4,0.17,2.50,30,0.44,19733.65,6,2,3,4,3,118.99,14,42,30.00
"OutParameter",9,0.04,1.11,28,0.25,3737.60,12,3,2,9,4,84.57,70,43,23.00
"OutParameterTest",4,0.75,1.00,25,0.36,8328.76,8,4,12,4,1,114.95,0,34,10.00
"PropertyHandler",2,0.00,1.00,3,0.07,1112.02,2,0,0,2,4,94.48,16,4,0.00
"PropertyHandlerTest",3,0.00,2.00,21,0.12,1960.16,4,1,5,3,2,161.78,5,25,3.00
"ProxyFactory",10,1.00,1.00,22,0.21,3911.33,11,1,9,11,9,103.00,62,33,13.00
"ProxyFactoryTest",7,0.00,1.00,16,0.18,2066.88,8,1,2,8,2,184.26,4,23,6.00
"ProxyFactoryTest$InvocationHandler",1,0.00,1.00,3,0.03,379.68,1,0,2,1,0,132.66,0,7,5.00
"QueryLoader",5,0.08,1.60,28,0.36,14089.94,8,3,6,8,2,82.75,63,41,7.00
"QueryLoaderTest",2,1.00,1.50,18,0.24,6948.92,3,1,2,2,2,154.14,3,24,12.00
"QueryRunner",41,0.00,2.24,259,3.58,167559.01,41,0,9,41,7,75.17,495,368,26.00
"QueryRunnerTest",73,0.14,1.15,535,9.23,425584.07,82,9,30,73,6,155.23,42,688,21.00
"QueryRunnerTest$Answer<Boolean>",1,0.00,1.00,4,0.02,246.02,2,1,30,1,0,129.48,0,9,3.00
"QueryRunnerTest$BadPrivatePropertyDescriptor",2,0.00,1.50,8,0.07,1108.76,3,1,11,2,0,126.59,0,11,1.00
"QueryRunnerTest$IndexedPropertyDescriptor",1,0.00,1.00,3,0.01,145.30,1,0,11,1,0,135.95,0,5,1.00
"QueryRunnerTest$InvocationHandler",1,0.00,2.00,5,0.04,693.08,1,0,11,1,0,122.10,0,9,5.00
"QueryRunnerTest$InvocationHandler_0",1,0.00,4.00,9,0.12,3540.14,1,0,11,1,0,106.54,0,14,9.00
"QueryRunnerTest$InvocationHandler_1",1,0.00,1.00,3,0.02,290.57,1,0,11,1,0,133.57,0,6,5.00
"QueryRunnerTest$MyBean",6,0.20,1.00,16,0.08,781.52,9,3,30,6,0,182.99,3,11,0.00
"QueryRunnerTest$NoOpFillStatement",1,1.00,1.00,4,0.03,408.00,2,1,11,1,1,127.75,0,7,3.00
"QueryRunnerTest$ResultSetHandler<List<Object>>",1,0.00,2.00,6,0.07,2194.53,1,0,30,1,0,115.20,0,13,9.00
"ResultSetHandler",1,0.00,1.00,2,0.02,228.96,1,0,2,1,13,103.40,12,3,0.00
"ResultSetIterator",7,0.25,1.43,27,0.26,4564.94,9,2,3,7,4,77.61,58,43,5.00
"ResultSetIterator$Iterable<Object[]>",1,0.00,1.00,3,0.02,340.00,1,0,3,1,1,133.04,0,6,4.00
"ResultSetIteratorTest",3,0.00,1.33,29,0.36,10300.31,3,0,5,3,2,156.10,3,37,11.00
"RowProcessor",4,0.00,1.00,5,0.39,12483.69,4,0,4,4,11,95.51,44,6,0.00
"SQLXMLColumnHandler",2,0.00,1.00,5,0.06,958.09,2,0,4,2,2,134.82,0,10,5.00
"SQLXMLColumnHandlerTest",2,1.00,1.00,7,0.09,1038.07,3,1,7,2,2,129.09,0,13,47.00
"ScalarHandler",5,0.38,1.40,18,0.16,2941.08,7,2,3,5,3,80.30,51,28,11.00
"ScalarHandlerTest",4,0.00,1.00,20,0.25,4747.75,4,0,3,4,3,120.49,0,25,10.00
"ServiceLoaderTest",5,0.12,2.20,40,0.23,3941.03,7,2,6,5,4,153.88,10,45,4.00
"ShortColumnHandler",2,0.00,1.00,5,0.08,1617.97,2,0,3,2,2,133.03,0,10,7.00
"ShortColumnHandlerTest",2,0.00,1.00,6,0.08,1036.55,2,0,5,2,2,131.60,0,11,8.00
"SqlNullCheckedResultSet",45,0.02,1.02,135,1.16,23587.71,70,25,16,47,4,86.86,330,186,28.00
"SqlNullCheckedResultSetMockBlob",11,0.00,1.00,21,0.23,2750.50,11,0,0,11,1,187.22,6,45,6.00
"SqlNullCheckedResultSetMockClob",13,0.00,1.00,25,0.24,2530.65,13,0,0,13,1,185.90,6,53,7.00
