Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractTestBidiMap$TestInverseBidiMap",13,0.08,1.00,29,0.18,2081.58,14,1,10,13,2,140.41,0,43,8.00
"AbstractTestCollection",41,0.10,2.93,567,6.86,395418.88,43,2,18,41,13,47.21,399,750,35.00
"AbstractTestComparator",16,0.00,1.19,68,0.64,13207.69,16,0,8,16,6,110.66,76,95,10.00
"AbstractTestIterableMap",5,0.00,2.80,53,0.51,16569.04,5,0,7,5,14,104.62,20,65,10.00
"AbstractTestIterableMap$InnerTestMapIterator",10,0.00,1.00,24,0.17,1586.82,10,0,7,10,4,171.52,2,35,6.00
"AbstractTestIterator",11,0.00,1.91,54,0.40,9747.58,11,0,3,11,15,79.28,77,77,7.00
"AbstractTestList",49,0.00,3.00,618,7.17,300671.15,49,0,17,49,25,70.05,283,754,32.00
"AbstractTestList$AbstractCollection",2,0.00,1.00,5,0.02,278.95,2,0,17,2,0,139.04,0,8,2.00
"AbstractTestList$BulkTestSubList",12,0.18,1.00,35,0.33,5150.83,13,1,17,12,1,132.70,0,48,15.00
"AbstractTestList$TestListIterator",7,0.00,1.00,17,0.13,1131.67,7,0,17,7,2,139.00,0,25,5.00
"AbstractTestListIterator",15,0.00,2.27,107,1.00,35098.79,15,0,4,15,7,81.57,88,144,10.00
"AbstractTestMap",65,0.03,1.92,594,6.96,334884.18,71,6,12,65,27,60.28,482,764,28.00
"AbstractTestMap$TestMapEntrySet",16,0.00,1.56,104,1.39,83259.25,16,0,12,16,2,152.03,6,129,25.00
"AbstractTestMap$TestMapKeySet",12,0.00,1.00,30,0.21,2425.15,12,0,12,12,2,137.77,0,43,13.00
"AbstractTestMap$TestMapValues",15,0.00,1.00,36,0.23,2605.15,15,0,12,15,1,182.84,7,52,13.00
"AbstractTestMapEntry",10,0.22,1.10,49,0.56,14861.26,12,2,3,10,3,95.91,54,60,13.00
"AbstractTestMapIterator",17,0.00,2.35,157,1.67,62404.99,17,0,6,17,8,85.67,88,198,18.00
"AbstractTestObject",24,1.00,1.38,102,1.08,22927.20,25,1,11,24,9,101.93,126,145,17.00
"AbstractTestOrderedBidiMap",7,0.00,2.86,78,0.86,35432.57,7,0,10,7,10,148.26,11,100,31.00
"AbstractTestOrderedBidiMap$TestBidiOrderedMapIterator",9,0.00,1.00,22,0.16,1424.88,9,0,10,9,4,172.66,2,32,6.00
"AbstractTestOrderedMap",8,0.00,2.75,83,0.93,37512.50,8,0,13,8,13,121.59,25,107,26.00
