Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"IteratorUtils",26,0.48,2.08,113,1.25,45083.95,28,2,23,28,16,82.52,308,163,17.00,74.00,12,0.00,0,0,1,16,1,65,0.04,0.00,java.lang.Object,121.21,2,0,2,3737.45,0,829,0.00,54,25,0,1,3
"IteratorUtils$EmptyIterator",3,0.00,1.00,7,0.03,272.72,3,0,23,3,0,141.86,12,11,2.00,3.00,1,0.00,0,0,1,0,1,4,0.00,0.00,java.lang.Object,141.62,0,1,0,100.24,0,33,0.00,3,2,0,1,0
"IteratorUtils$EmptyListIterator",6,0.00,1.00,13,0.07,603.58,6,0,23,6,0,152.77,21,20,4.00,6.00,1,0.50,0,1,2,0,2,7,0.00,0.00,org.apache.commons.collections.EmptyIterator,142.47,0,1,0,216.95,0,67,0.00,6,4,0,1,0
"LRUMap",10,0.28,1.60,54,0.45,9221.23,12,2,5,10,1,70.34,95,64,7.00,10.00,3,0.50,0,1,7,1,2,20,0.25,0.00,org.apache.commons.collections.SequencedHashMap,119.97,0,1,0,1350.11,8,316,0.00,16,3,0,1,3
"ListIteratorWrapper",10,0.11,1.50,42,0.30,5809.01,15,5,4,11,1,80.53,74,59,6.00,10.00,2,0.00,0,0,4,0,1,15,0.30,0.00,java.lang.Object,125.64,1,1,1,909.62,0,227,0.00,15,6,1,1,0
"ListUtils",8,0.00,1.38,28,0.30,8289.69,8,0,5,8,2,98.37,105,61,9.00,8.00,3,0.00,0,0,1,2,1,9,0.00,0.00,java.lang.Object,126.64,0,0,0,908.19,0,219,0.00,11,7,0,1,3
"ListUtils$FixedSizeList",12,0.00,1.00,26,0.27,4066.29,12,0,5,12,0,138.32,0,40,7.00,12.00,1,0.50,0,1,2,0,2,0,0.00,0.00,CollectionUtils.UnmodifiableCollection,138.32,0,1,0,812.39,0,220,0.00,12,10,0,1,2
"ListUtils$FixedSizeList$ListIteratorWrapper",3,0.00,1.00,7,0.04,344.18,3,0,5,4,0,140.82,0,11,3.00,3.00,1,0.00,0,0,3,0,1,0,0.00,0.00,java.lang.Object,140.82,1,0,1,114.73,0,34,0.00,3,0,0,1,0
"ListUtils$LazyList",12,0.91,1.33,44,0.41,13991.46,13,1,5,12,1,174.66,15,62,7.00,28.00,4,0.50,0,1,2,1,2,8,0.17,0.00,CollectionUtils.CollectionWrapper,125.50,0,1,0,1239.63,0,307,0.00,16,10,0,1,1
"ListUtils$ListIteratorWrapper",10,0.11,1.00,22,0.13,1454.73,11,1,5,10,0,140.97,0,34,5.00,0.00,1,0.00,0,0,4,0,1,0,0.90,0.00,java.lang.Object,140.97,0,1,0,383.54,0,121,0.00,10,6,0,1,0
"ListUtils$PredicatedList",12,0.00,1.08,33,0.34,5337.01,12,0,5,12,1,133.51,0,45,7.00,12.00,2,0.50,0,1,2,1,2,0,0.00,0.00,CollectionUtils.PredicatedCollection,133.51,0,1,0,1013.38,1,265,0.00,13,10,0,1,2
"ListUtils$PredicatedList$ListIteratorWrapper",2,0.00,1.00,7,0.04,441.08,2,0,5,3,0,132.02,0,10,3.00,2.00,1,0.00,0,0,2,0,1,0,0.00,0.00,java.lang.Object,132.02,1,0,1,117.62,1,34,0.00,2,0,0,1,0
"MapUtils",35,0.94,2.34,218,2.30,85996.05,36,1,4,35,3,79.45,433,324,19.00,122.00,6,0.00,0,0,6,2,1,47,0.09,0.00,java.lang.Object,114.13,0,0,0,6913.68,0,1499,0.00,82,29,1,1,13
"MapUtils$FixedSizeMap",3,0.00,2.33,17,0.15,3525.39,3,0,4,3,1,118.19,0,23,8.00,1.00,3,0.50,0,1,2,1,2,0,0.00,0.00,org.apache.commons.collections.ProxyMap,118.19,0,0,0,459.58,0,108,0.00,7,1,0,1,0
"MapUtils$FixedSizeSortedMap",8,0.00,1.00,17,0.13,1716.16,8,0,4,8,0,140.20,0,28,6.00,8.00,1,0.50,0,1,1,0,2,0,0.00,0.00,org.apache.commons.collections.FixedSizeMap,140.20,0,1,0,402.80,0,119,0.00,8,7,0,1,1
"MapUtils$LazyMap",2,1.00,2.50,15,0.13,3163.02,3,1,4,2,2,112.59,0,22,7.00,2.00,3,0.50,0,1,1,2,2,0,0.50,0.00,org.apache.commons.collections.ProxyMap,112.59,0,0,0,375.10,0,90,0.00,5,1,0,1,0
"MapUtils$LazySortedMap",8,0.00,1.00,17,0.14,1797.20,8,0,4,8,1,140.04,0,28,6.00,8.00,1,0.50,0,1,1,1,2,0,0.00,0.00,org.apache.commons.collections.LazyMap,140.04,0,1,0,433.44,0,125,0.00,8,7,0,1,1
"MapUtils$PredicatedMap",5,0.00,2.40,37,0.42,9760.29,7,2,4,5,2,112.11,0,51,9.00,0.00,5,0.50,0,1,3,2,2,0,0.50,0.00,org.apache.commons.collections.ProxyMap,112.11,0,0,0,1253.45,0,267,0.10,12,2,0,1,1
"MapUtils$PredicatedMapEntry",7,0.08,1.43,24,0.19,3501.75,9,2,4,7,1,129.46,0,36,5.00,0.00,3,0.00,0,0,1,1,1,0,0.57,0.00,java.lang.Object,129.46,0,1,0,560.48,0,147,0.00,10,6,0,1,0
"MapUtils$PredicatedMapEntrySet",2,1.00,1.00,8,0.14,2982.42,3,1,4,2,1,123.32,0,12,5.00,2.00,1,0.50,0,1,1,1,2,0,0.50,0.00,CollectionUtils.CollectionWrapper,123.32,0,1,0,409.66,0,96,0.00,2,1,0,1,0
