Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, LCOM2, MAXCC, R-R, NSUB, NSUP, NCO, FOUT, DIT, CCOM, COH, S-R, Superclass, MINC, EXT, INTR, MPC, HVOL, HIER, HLTH, SIX, TCC, NQU, F-IN, MOD, LMC
"AbstractLinkedList$LinkedListIterator",12,0.27,1.42,63,0.46,9008.67,17,5,12,12,2,119.78,49,82,6.00,0.00,2,0.00,0,0,5,2,1,8,0.45,0.00,java.lang.Object,121.17,0,1,0,1375.49,0,330,0.00,17,7,0,2,5
"AbstractLinkedList$LinkedSubList",14,0.33,1.50,76,0.70,16372.01,18,4,12,14,1,165.43,8,98,11.00,0.00,4,0.50,0,1,5,1,2,6,0.55,0.00,java.util.AbstractList,119.09,0,0,0,2103.71,0,478,0.00,21,9,0,2,4
"AbstractLinkedList$LinkedSubListIterator",6,0.40,1.00,19,0.15,1923.11,7,1,12,6,0,181.88,5,26,2.00,0.00,1,0.50,0,1,3,0,2,2,0.67,0.00,org.apache.commons.collections.list.LinkedListIterator,132.36,0,0,0,463.20,4,123,0.00,6,3,0,2,1
"AbstractLinkedList$Node",9,0.17,1.00,28,0.15,1993.09,12,3,12,9,0,93.49,61,38,3.00,29.00,1,0.00,0,0,6,0,1,11,0.19,0.00,java.lang.Object,133.91,0,0,0,454.23,0,135,0.00,9,3,0,2,0
"AbstractLinkedMap",23,0.64,1.74,107,0.98,31825.30,24,1,11,23,15,70.98,210,138,22.00,82.00,6,0.25,5,2,9,8,3,36,0.39,1.67,org.apache.commons.collections.map.AbstractHashedMap,120.96,0,1,0,2938.74,4,692,0.25,40,14,7,1,2
"AbstractLinkedMap$EntrySetIterator",3,0.00,1.00,7,0.04,302.25,3,0,11,3,1,191.27,3,11,2.00,3.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.LinkIterator,141.27,0,0,0,111.08,2,36,0.00,3,2,0,2,0
"AbstractLinkedMap$KeySetIterator",3,0.00,1.00,7,0.04,373.59,3,0,11,3,1,190.54,3,11,3.00,3.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.EntrySetIterator,140.54,0,0,0,134.86,2,42,0.00,3,2,0,2,0
"AbstractLinkedMap$LinkEntry",1,2.00,1.00,5,0.03,281.90,3,2,11,1,0,151.69,19,7,0.00,1.00,1,0.50,0,1,1,0,2,3,0.00,0.00,org.apache.commons.collections.map.HashEntry,125.40,0,0,0,98.38,0,29,0.00,1,0,0,2,0
"AbstractLinkedMap$LinkIterator",9,0.41,1.78,48,0.41,8332.52,13,4,11,9,4,169.23,7,67,7.00,0.00,3,0.00,0,0,3,4,1,1,0.61,0.00,java.lang.Object,120.11,0,1,0,1221.75,0,286,0.00,16,6,0,3,0
"AbstractLinkedMap$LinkMapIterator",6,0.00,1.50,22,0.19,3585.94,6,0,11,6,3,172.51,3,32,6.00,6.00,2,0.50,0,1,1,3,2,1,0.00,0.00,org.apache.commons.collections.map.LinkIterator,127.74,0,1,0,559.67,3,140,0.00,9,5,0,2,0
"AbstractLinkedMap$ValuesIterator",3,0.00,1.00,7,0.04,373.59,3,0,11,3,1,190.54,3,11,3.00,3.00,1,0.50,0,1,1,1,2,1,0.00,0.00,org.apache.commons.collections.map.LinkIterator,140.54,0,0,0,134.86,2,42,0.00,3,2,0,2,0
"AbstractListDecorator",13,0.00,1.00,27,0.22,2634.75,13,0,4,13,2,180.65,26,41,7.00,13.00,1,0.11,7,1,3,1,2,5,0.00,3.50,org.apache.commons.collections.collection.AbstractCollectionDecorator,140.76,0,1,0,650.71,1,192,0.00,13,10,1,2,1
"AbstractListIteratorDecorator",11,0.10,1.09,27,0.16,2109.39,12,1,1,11,8,173.29,25,40,6.00,0.00,2,0.00,4,0,4,0,1,5,0.91,4.00,java.lang.Object,138.23,0,1,0,480.27,0,144,0.00,12,7,8,1,0
"AbstractMapBag",27,0.02,2.26,203,2.04,63078.71,31,4,11,27,5,67.59,194,251,20.00,27.00,6,0.00,2,0,5,3,1,38,0.23,2.00,java.lang.Object,111.27,0,1,0,6108.23,0,1288,0.00,61,22,3,2,8
"AbstractMapBag$BagIterator",4,0.72,2.25,35,0.33,6985.31,10,6,11,4,1,149.70,8,46,9.00,0.00,4,0.00,0,0,2,1,1,2,0.71,0.00,java.lang.Object,109.81,0,1,0,990.25,0,214,0.00,9,2,0,1,0
"AbstractMapBag$MutableInteger",3,0.50,1.33,10,0.06,1066.37,4,1,11,3,0,151.72,9,15,3.00,1.00,2,0.00,0,0,1,0,1,4,0.67,0.00,java.lang.Object,131.10,0,0,0,182.48,0,52,0.00,4,2,0,2,0
"AbstractMapDecorator",18,0.12,1.11,42,0.27,3822.06,19,1,3,18,8,178.58,36,63,9.00,0.00,2,0.00,25,0,4,0,1,5,0.89,25.00,java.lang.Object,138.69,0,1,0,814.10,0,242,0.00,20,14,8,2,0
"AbstractMapEntry",4,0.00,1.50,16,0.23,9593.37,4,0,1,4,5,77.45,44,26,34.00,4.00,3,0.17,4,1,1,1,2,7,0.00,2.00,org.apache.commons.collections.keyvalue.AbstractKeyValue,121.58,0,1,0,692.60,2,165,0.00,6,3,4,2,0
"AbstractMapEntryDecorator",8,0.14,1.25,22,0.15,2267.09,9,1,2,8,5,160.75,22,33,5.00,0.00,2,0.00,5,0,1,1,1,4,0.88,5.00,java.lang.Object,135.01,0,1,0,455.52,0,129,0.00,10,7,4,2,0
