Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF
"AbstractListIteratorTest",13,0.00,2.46,103,1.11,48435.41,13,0,3,13,7,79.50,75,140,11.00
"AbstractListTest",47,0.00,3.09,643,7.86,390776.97,47,0,17,47,19,69.24,266,812,30.00
"AbstractListTest$AbstractCollection<E>",2,0.00,1.00,5,0.04,525.71,2,0,17,2,0,136.87,0,10,3.00
"AbstractListTest$BulkTestSubList",12,0.18,1.00,35,0.43,8527.58,13,1,17,12,1,130.97,0,60,15.00
"AbstractListTest$TestListIterator",7,0.00,1.00,17,0.16,1833.41,7,0,17,7,2,137.35,0,31,5.00
"AbstractListValuedMap",7,0.00,1.00,14,0.19,3104.14,7,0,7,7,5,108.27,41,28,7.00
"AbstractListValuedMap$ValuesListIterator",11,0.20,1.18,37,0.37,6498.25,14,3,7,11,1,152.03,1,60,6.00
"AbstractListValuedMap$WrappedList",14,0.00,1.43,56,0.74,20265.89,14,0,7,14,2,160.50,4,90,13.00
"AbstractMapBag",27,0.02,2.30,201,2.36,92580.71,31,4,12,27,5,66.17,195,272,22.00
"AbstractMapBag",27,0.02,2.26,203,2.04,63078.71,31,4,11,27,5,67.59,194,251,20.00
"AbstractMapBag$BagIterator",4,0.72,2.25,35,0.33,6985.31,10,6,11,4,1,149.70,8,46,9.00
"AbstractMapBag$BagIterator",4,0.72,2.25,35,0.37,8911.78,10,6,12,4,1,134.71,11,49,5.00
"AbstractMapBag$MutableInteger",3,0.50,1.33,10,0.07,1467.59,4,1,12,3,0,150.62,9,17,3.00
"AbstractMapBag$MutableInteger",3,0.50,1.33,10,0.06,1066.37,4,1,11,3,0,151.72,9,15,3.00
"AbstractMapDecorator",18,1.00,1.11,42,0.39,6266.70,19,1,3,18,12,177.80,35,66,10.00
"AbstractMapDecorator",18,0.12,1.11,42,0.27,3822.06,19,1,3,18,9,178.58,36,63,9.00
"AbstractMapEntry",4,0.00,1.50,14,0.28,13485.37,4,0,1,4,7,73.43,39,27,35.00
"AbstractMapEntry",4,0.00,1.50,16,0.23,9593.37,4,0,1,4,5,77.45,44,26,34.00
"AbstractMapEntryDecorator",8,0.14,1.25,22,0.15,2267.09,9,1,2,8,5,160.75,22,33,5.00
"AbstractMapEntryDecorator",8,0.14,1.25,22,0.21,3799.91,9,1,2,8,5,163.97,20,36,5.00
"AbstractMapEntryTest",9,0.19,1.11,47,0.74,26585.56,11,2,3,9,3,95.22,47,61,26.00
"AbstractMapIteratorDecorator",8,0.14,1.12,21,0.16,2665.06,9,1,1,8,1,145.53,28,31,5.00
"AbstractMapIteratorDecorator",8,0.14,1.12,21,0.12,1772.30,9,1,1,8,1,157.25,24,31,4.00
"AbstractMapIteratorTest",15,0.00,2.53,149,1.86,90843.48,15,0,5,15,8,84.48,76,192,20.00
"AbstractMapMultiSet",21,0.03,2.05,142,1.58,66033.24,24,3,9,21,7,91.85,108,185,19.00
"AbstractMapMultiSet$EntrySetIterator",4,0.33,1.25,20,0.22,4128.99,8,4,9,4,1,146.64,11,30,4.00
"AbstractMapMultiSet$MapBasedMultiSetIterator",4,0.72,2.25,35,0.37,8911.78,10,6,9,4,1,134.71,11,49,5.00
"AbstractMapMultiSet$MultiSetEntry",3,0.50,1.00,8,0.08,1068.29,4,1,9,3,0,168.71,7,14,2.00
"AbstractMapMultiSet$MutableInteger",3,0.50,1.33,10,0.07,1467.59,4,1,9,3,0,150.62,9,17,3.00
"AbstractMapMultiSet$UniqueSetIterator",3,0.33,1.33,19,0.17,3716.50,6,3,9,3,2,116.67,12,26,3.00
"AbstractMapTest",79,0.12,2.16,778,10.38,543049.56,85,6,18,79,17,62.85,535,1007,31.00
"AbstractMapTest$TestMapEntrySet",18,0.00,1.50,109,1.76,135550.31,18,0,18,18,2,158.86,12,149,26.00
"AbstractMapTest$TestMapKeySet",12,0.00,1.00,30,0.29,3770.50,12,0,18,12,2,136.26,0,54,14.00
"AbstractMapTest$TestMapValues",15,0.00,1.00,36,0.32,3889.36,15,0,18,15,2,181.47,7,66,8.00
